M0,H,T,Loss
singleESN [B],4,17,3.320860449520123e-05
singleESN [B],4,18,5.32702204889212e-07
singleESN [B],4,19,4.758809579404473e-09
singleESN [B],4,20,0.00011369460885733427
singleESN [B],4,21,3.14043552345844e-05
singleESN [B],4,22,1.9596305426873937e-05
singleESN [B],4,23,7.159155882084414e-06
singleESN [B],4,24,8.923310253400516e-07
singleESN [B],4,25,1.8832721128884227e-06
singleESN [B],4,26,1.5421894781283345e-05
singleESN [B],4,27,3.242491549718745e-05
singleESN [B],4,28,1.64103649296748e-06
singleESN [B],4,29,1.7108338261093333e-05
singleESN [B],4,30,1.3511935035642789e-06
singleESN [B],4,31,4.835379750536695e-06
singleESN [B],4,32,5.989718002973747e-06
singleESN [B],4,33,2.4757751374521123e-06
singleESN [B],4,34,1.0607532961879315e-10
singleESN [B],4,35,4.860219100832554e-06
singleESN [B],4,36,1.971809450655236e-07
singleESN [B],4,37,1.3201915610977138e-06
singleESN [B],4,38,5.5110277067892236e-06
singleESN [B],4,39,2.4270924537652558e-05
singleESN [B],5,0,7.830888970732799e-05
singleESN [B],5,1,1.2550403934516628e-05
singleESN [B],5,2,1.2023989954946126e-05
singleESN [B],5,3,4.697410881340518e-06
singleESN [B],5,4,6.126129373385662e-06
singleESN [B],5,5,2.9842045100647397e-07
singleESN [B],5,6,3.8925265121732115e-06
singleESN [B],5,7,9.153730168658805e-05
singleESN [B],5,8,1.582659527144417e-07
singleESN [B],5,9,5.6899868197712695e-05
singleESN [B],5,10,1.5991149583913293e-05
singleESN [B],5,11,9.811120960349105e-07
singleESN [B],5,12,6.797525650927828e-06
singleESN [B],5,13,2.924801140915048e-05
singleESN [B],5,14,3.669534788284195e-05
singleESN [B],5,15,2.2052946414519084e-06
singleESN [B],5,16,3.320713435950709e-05
singleESN [B],5,17,5.327731873057222e-07
singleESN [B],5,18,4.747234338259079e-09
singleESN [B],5,19,0.00011369284790404343
singleESN [B],5,20,3.1405873504438786e-05
singleESN [B],5,21,1.9596838316463966e-05
singleESN [B],5,22,7.158612250221097e-06
singleESN [B],5,23,8.926359182421308e-07
singleESN [B],5,24,1.8829181141690045e-06
singleESN [B],5,25,1.5420867980133045e-05
singleESN [B],5,26,3.2423633128719066e-05
singleESN [B],5,27,1.6408038870965474e-06
singleESN [B],5,28,1.710749344774735e-05
singleESN [B],5,29,1.3509133586206242e-06
singleESN [B],5,30,4.835008511310498e-06
singleESN [B],5,31,5.988963272016271e-06
singleESN [B],5,32,2.4756286758235443e-06
singleESN [B],5,33,1.0656500339715167e-10
singleESN [B],5,34,4.8603430251347684e-06
singleESN [B],5,35,1.9727156073638155e-07
singleESN [B],5,36,1.3203961331162558e-06
singleESN [B],5,37,5.510739939337635e-06
singleESN [B],5,38,2.427049837702267e-05
singleESN [B],5,39,1.4288225668127212e-06
singleESN [B],6,0,1.2550481941772414e-05
singleESN [B],6,1,1.2023990750262348e-05
singleESN [B],6,2,4.697450061235274e-06
singleESN [B],6,3,6.126074144928941e-06
singleESN [B],6,4,2.98415797522324e-07
singleESN [B],6,5,3.892469068871463e-06
singleESN [B],6,6,9.153711230792025e-05
singleESN [B],6,7,1.582544010223574e-07
singleESN [B],6,8,5.6899603074863585e-05
singleESN [B],6,9,1.5991233735402855e-05
singleESN [B],6,10,9.811386503356703e-07
singleESN [B],6,11,6.797464378342505e-06
singleESN [B],6,12,2.9247904081004386e-05
singleESN [B],6,13,3.6695212876746673e-05
singleESN [B],6,14,2.2052950401107293e-06
singleESN [B],6,15,3.320701090925777e-05
singleESN [B],6,16,5.327942256634794e-07
singleESN [B],6,17,4.746477021135112e-09
singleESN [B],6,18,0.00011369264558173852
singleESN [B],6,19,3.140597810949879e-05
singleESN [B],6,20,1.9596973833091e-05
singleESN [B],6,21,7.158575831365839e-06
singleESN [B],6,22,8.926576164191938e-07
singleESN [B],6,23,1.8828680639945637e-06
singleESN [B],6,24,1.5420753485690025e-05
singleESN [B],6,25,3.242346486762031e-05
singleESN [B],6,26,1.6407712840206774e-06
singleESN [B],6,27,1.7107408548057354e-05
singleESN [B],6,28,1.3508865217378277e-06
singleESN [B],6,29,4.834948606624794e-06
singleESN [B],6,30,5.988916544153934e-06
singleESN [B],6,31,2.475573825298578e-06
singleESN [B],6,32,1.0667369296429519e-10
singleESN [B],6,33,4.860354868752734e-06
singleESN [B],6,34,1.9727438343808264e-07
singleESN [B],6,35,1.3204226231118425e-06
singleESN [B],6,36,5.5106927184317e-06
singleESN [B],6,37,2.4270430158111428e-05
singleESN [B],6,38,1.428810885050202e-06
singleESN [B],6,39,5.513629595918917e-07
singleESN [B],7,0,1.2023982122134817e-05
singleESN [B],7,1,4.697450004262734e-06
singleESN [B],7,2,6.126069089220968e-06
singleESN [B],7,3,2.9841442021126365e-07
singleESN [B],7,4,3.892470967003177e-06
singleESN [B],7,5,9.15370808208612e-05
singleESN [B],7,6,1.5825351098124688e-07
singleESN [B],7,7,5.689957831919606e-05
singleESN [B],7,8,1.5991249620344292e-05
singleESN [B],7,9,9.81141006307152e-07
singleESN [B],7,10,6.797456478432288e-06
singleESN [B],7,11,2.9247889715642323e-05
singleESN [B],7,12,3.669519928677712e-05
singleESN [B],7,13,2.2052987812649515e-06
singleESN [B],7,14,3.3207010733020154e-05
singleESN [B],7,15,5.327959928544205e-07
singleESN [B],7,16,4.746252615394906e-09
singleESN [B],7,17,0.00011369263233526786
singleESN [B],7,18,3.140599012748566e-05
singleESN [B],7,19,1.959698317203403e-05
singleESN [B],7,20,7.158566574991556e-06
singleESN [B],7,21,8.926590700593359e-07
singleESN [B],7,22,1.8828645022972236e-06
singleESN [B],7,23,1.5420737297562682e-05
singleESN [B],7,24,3.242344610401672e-05
singleESN [B],7,25,1.64076700618268e-06
singleESN [B],7,26,1.7107396649947897e-05
singleESN [B],7,27,1.35088382526847e-06
singleESN [B],7,28,4.8349428681799294e-06
singleESN [B],7,29,5.988909008767888e-06
singleESN [B],7,30,2.475570429340368e-06
singleESN [B],7,31,1.0671439193825516e-10
singleESN [B],7,32,4.860357491847312e-06
singleESN [B],7,33,1.97274653170622e-07
singleESN [B],7,34,1.3204234485359068e-06
singleESN [B],7,35,5.510686602684094e-06
singleESN [B],7,36,2.427041895881252e-05
singleESN [B],7,37,1.4288090145624062e-06
singleESN [B],7,38,5.513637796675894e-07
singleESN [B],7,39,1.0486894136760885e-07
multiESN [A],0,0,0.00011439877296141563
multiESN [A],0,1,2.8546555471748767e-07
multiESN [A],0,2,0.0001472660192266097
multiESN [A],0,3,0.0007934078711756224
multiESN [A],0,4,0.0003216462680806975
multiESN [A],0,5,6.398720067549782e-05
multiESN [A],0,6,1.0398458400411335e-05
multiESN [A],0,7,1.528971842896209e-05
multiESN [A],0,8,3.96357933544407e-06
multiESN [A],0,9,4.4819178534611e-06
multiESN [A],0,10,4.7038521885865343e-07
multiESN [A],0,11,3.0609679567906276e-06
multiESN [A],0,12,8.947277484885945e-05
multiESN [A],0,13,2.6149454897161013e-07
multiESN [A],0,14,5.592236363641292e-05
multiESN [A],0,15,1.5085012312160135e-05
multiESN [A],0,16,9.097812865528868e-07
multiESN [A],0,17,6.762074760393759e-06
multiESN [A],0,18,2.406336907483231e-05
multiESN [A],0,19,3.4288488547500924e-05
multiESN [A],0,20,2.151428648336846e-06
multiESN [A],0,21,3.0671354876242716e-05
multiESN [A],0,22,4.904256233007864e-07
multiESN [A],0,23,6.925234727065418e-08
multiESN [A],0,24,0.0001157792517402253
multiESN [A],0,25,2.6031970956678278e-05
multiESN [A],0,26,1.7409328837775923e-05
multiESN [A],0,27,7.139164964334036e-06
multiESN [A],0,28,8.508064222722487e-07
multiESN [A],0,29,1.5752812318136257e-06
multiESN [A],0,30,1.5238578852542881e-05
multiESN [A],0,31,3.0844048420419256e-05
multiESN [A],0,32,2.1513459515828463e-06
multiESN [A],0,33,1.6651117105697115e-05
multiESN [A],0,34,1.8958512586736582e-06
multiESN [A],0,35,5.45846949451986e-06
multiESN [A],0,36,8.955790757590638e-06
multiESN [A],0,37,2.9598914601581857e-06
multiESN [A],0,38,8.916143686430232e-09
multiESN [A],0,39,5.557938698256329e-06
multiESN [A],1,0,2.2683989856522054e-06
multiESN [A],1,1,0.00015528650435258504
multiESN [A],1,2,0.0008628142273803038
multiESN [A],1,3,0.0003600008211263054
multiESN [A],1,4,8.003164074723867e-05
multiESN [A],1,5,1.3201294021217005e-05
multiESN [A],1,6,1.1059667113589317e-05
multiESN [A],1,7,5.483789335748247e-06
multiESN [A],1,8,5.356346159174437e-06
multiESN [A],1,9,1.240991013623472e-07
multiESN [A],1,10,4.791312095023691e-06
multiESN [A],1,11,9.466287213601354e-05
multiESN [A],1,12,3.7060438287640975e-07
multiESN [A],1,13,6.002529247809519e-05
multiESN [A],1,14,1.469813291959994e-05
multiESN [A],1,15,6.92189829477855e-07
multiESN [A],1,16,7.788665880583922e-06
multiESN [A],1,17,3.089898373429505e-05
multiESN [A],1,18,3.8243335973207804e-05
multiESN [A],1,19,1.7438015998705994e-06
multiESN [A],1,20,3.4757413468331675e-05
multiESN [A],1,21,3.151691245675683e-07
multiESN [A],1,22,5.2863332472227e-08
multiESN [A],1,23,0.00011755549540059713
multiESN [A],1,24,2.9191238254443615e-05
multiESN [A],1,25,1.784552543662023e-05
multiESN [A],1,26,8.242394076309636e-06
multiESN [A],1,27,5.879501519560638e-07
multiESN [A],1,28,2.392952028136484e-06
multiESN [A],1,29,1.644047068694556e-05
multiESN [A],1,30,3.429585119642535e-05
multiESN [A],1,31,2.0693710151167123e-06
multiESN [A],1,32,1.8585438896206233e-05
multiESN [A],1,33,1.6998176493911702e-06
