M0,H,T,Loss
MIDAS,3,14,0.004646638843812827
MIDAS,3,15,0.002270012081138387
MIDAS,3,16,0.0004189870400853274
MIDAS,3,17,0.0012183980070682252
MIDAS,3,18,0.0015083360107399245
MIDAS,3,19,-0.002416760457916632
MIDAS,3,20,-0.004455141431773538
MIDAS,3,21,-0.0031984340133702016
MIDAS,3,22,0.0014635616911986074
MIDAS,3,23,-0.002131914725744627
MIDAS,4,0,0.0013827783988029155
MIDAS,4,1,0.010893983590012653
MIDAS,4,2,0.0069674263394271015
MIDAS,4,3,0.002674078898609847
MIDAS,4,4,0.013298714630926326
MIDAS,4,5,-0.006203066261221533
MIDAS,4,6,-0.002912174883163199
MIDAS,4,7,0.004731694436933791
MIDAS,4,8,0.003137132518290028
MIDAS,4,9,0.002739290181415035
MIDAS,4,10,0.004492221019142472
MIDAS,4,11,0.009740537576010976
MIDAS,4,12,0.006242689119506464
MIDAS,4,13,0.00853372043089751
MIDAS,4,14,0.0028830065680762454
MIDAS,4,15,0.004535636828797413
MIDAS,4,16,0.0003603600897067582
MIDAS,4,17,-0.0003500608755336084
MIDAS,4,18,-0.0004746037120222854
MIDAS,4,19,-0.003532152178999373
MIDAS,4,20,-0.002145384389378148
MIDAS,4,21,-0.0018682838635201322
MIDAS,4,22,0.002710018971737018
MIDAS,4,23,0.00036903131199535286
MIDAS,5,0,0.011164865637306844
MIDAS,5,1,0.00326366654466303
MIDAS,5,2,6.452533640276172e-05
MIDAS,5,3,0.006877630609570192
MIDAS,5,4,-0.01084568043435729
MIDAS,5,5,-0.0048255052627323505
MIDAS,5,6,0.003344650830404111
MIDAS,5,7,-0.0014065267666969168
MIDAS,5,8,0.0028369103709007778
MIDAS,5,9,0.001846296931916153
MIDAS,5,10,0.006798258338082574
MIDAS,5,11,0.006564762687846997
MIDAS,5,12,0.005899127737783463
MIDAS,5,13,0.0027161751562824335
MIDAS,5,14,0.0016711723782684143
MIDAS,5,15,-0.0011299369962254942
MIDAS,5,16,-0.0035627730968680734
MIDAS,5,17,-0.0029175852499731068
MIDAS,5,18,-0.004843252090992124
MIDAS,5,19,-0.002193803009913572
MIDAS,5,20,-0.0002377832864240842
MIDAS,5,21,0.0018603650686371707
MIDAS,5,22,0.0033582200365730895
MIDAS,5,23,-0.004211699881364856
MIDAS,6,0,0.006819751037316453
MIDAS,6,1,0.00039968749259721315
MIDAS,6,2,0.01909452804703167
MIDAS,6,3,-0.009414081601192162
MIDAS,6,4,-0.004777207974421459
MIDAS,6,5,0.004616977005779822
MIDAS,6,6,0.00016240761225637043
MIDAS,6,7,0.004523441423147894
MIDAS,6,8,0.005619972084917702
MIDAS,6,9,0.007231690851721734
MIDAS,6,10,0.003556319746411866
MIDAS,6,11,0.004708180200490348
MIDAS,6,12,0.003990265304755248
MIDAS,6,13,0.003001625745727466
MIDAS,6,14,-0.0009978565085977564
MIDAS,6,15,-0.0007220272797583208
MIDAS,6,16,-0.004657683900599803
MIDAS,6,17,-0.005979970444968252
MIDAS,6,18,-0.004008983539942356
MIDAS,6,19,-0.001569267814056777
MIDAS,6,20,0.001151395399606305
MIDAS,6,21,0.003273914191721499
MIDAS,6,22,0.0004605850727378265
MIDAS,6,23,-0.005850626868003796
MIDAS,7,0,-0.0007293497965012901
MIDAS,7,1,0.009687345939274495
MIDAS,7,2,-0.007437148911787804
MIDAS,7,3,-0.007850169745716774
MIDAS,7,4,-0.00030497994347744237
MIDAS,7,5,-0.0036527464606272925
MIDAS,7,6,-0.00045251315288200814
MIDAS,7,7,-0.0004102954207475572
MIDAS,7,8,0.004857447164764992
MIDAS,7,9,0.0013054680556486157
MIDAS,7,10,0.0027286934562000442
MIDAS,7,11,-0.0011311925199251546
MIDAS,7,12,0.0047547040145013856
MIDAS,7,13,-7.431046911861392e-05
MIDAS,7,14,-0.003887850176462893
